Fid,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,results
10.42.0.211-54.192.38.171-56436-443-6,Chhattisgarh,DURG,2002,Kharif     ,Moong(Green Gram),221.0,50.0,0
192.229.173.173-10.42.0.211-443-44346-6,Chhattisgarh,DURG,2002,Kharif     ,Other Kharif pulses,8.0,2.0,0
10.42.0.211-64.71.142.110-44368-443-6,Chhattisgarh,DURG,2002,Kharif     ,Ragi,15.0,4.0,0
10.42.0.151-10.42.0.1-24483-53-17,Chhattisgarh,DURG,2002,Kharif     ,Rice,432904.0,233410.0,0
172.217.11.14-10.42.0.211-443-60314-6,Chhattisgarh,DURG,2002,Kharif     ,Sesamum,1593.0,376.0,0
180.149.136.194-10.42.0.42-443-60671-6,Chhattisgarh,DURG,2002,Kharif     ,Small millets,13879.0,1719.0,0
10.42.0.211-10.42.0.1-35622-53-17,Chhattisgarh,DURG,2002,Kharif     ,Soyabean,4394.0,2050.0,0
10.42.0.42-38.69.238.8-51412-80-6,Chhattisgarh,DURG,2002,Kharif     ,Sunflower,471.0,256.0,0
10.42.0.211-54.230.49.105-51367-443-6,Chhattisgarh,DURG,2002,Kharif     ,Urad,2953.0,747.0,0
172.217.6.206-10.42.0.151-443-60207-6,Chhattisgarh,DURG,2002,Rabi       ,Barley,14.0,8.0,0
10.42.0.211-10.42.0.1-41662-53-17,Chhattisgarh,DURG,2002,Rabi       ,Gram,66754.0,45473.0,0
10.42.0.1-10.42.0.42-5351-37442-17,Chhattisgarh,DURG,2002,Rabi       ,Horse-gram,126.0,28.0,0
172.217.3.109-10.42.0.42-443-48154-6,Chhattisgarh,DURG,2002,Rabi       ,Khesari,94683.0,44830.0,0
140.205.94.6-10.42.0.211-443-53617-6,Chhattisgarh,DURG,2002,Rabi       ,Linseed,15824.0,4229.0,0
180.149.134.221-10.42.0.42-80-39752-6,Chhattisgarh,DURG,2002,Rabi       ,Masoor,6334.0,1941.0,0
172.217.11.46-10.42.0.151-443-55348-6,Chhattisgarh,DURG,2002,Rabi       ,Moong(Green Gram),400.0,81.0,0
10.42.0.1-10.42.0.42-53-64471-17,Chhattisgarh,DURG,2002,Rabi       ,Other  Rabi pulses,1.0,,0
10.42.0.211-106.11.129.143-52938-80-6,Chhattisgarh,DURG,2002,Rabi       ,Peas & beans (Pulses),790.0,240.0,0
10.42.0.151-74.125.22.188-37263-5228-6,Chhattisgarh,DURG,2002,Rabi       ,Rapeseed &Mustard,1227.0,343.0,0
10.42.0.211-10.42.0.1-45898-53-17,Chhattisgarh,DURG,2002,Rabi       ,Safflower,91.0,21.0,0
10.42.0.151-119.146.74.34-33727-80-6,Chhattisgarh,DURG,2002,Rabi       ,Urad,1737.0,348.0,0
10.42.0.42-95.213.11.181-58669-80-6,Chhattisgarh,DURG,2002,Rabi       ,Wheat,18396.0,14399.0,1
10.42.0.211-10.42.0.1-57397-53-17,Chhattisgarh,DURG,2002,Whole Year ,Banana,14.0,441.0,0
10.42.0.211-10.42.0.1-4023-53-17,Chhattisgarh,DURG,2002,Whole Year ,Coriander,1416.0,369.0,0
172.217.11.14-10.42.0.211-443-39199-6,Chhattisgarh,DURG,2002,Whole Year ,Dry chillies,318.0,330.0,0
172.217.10.110-10.42.0.211-443-49873-6,Chhattisgarh,DURG,2002,Whole Year ,Dry ginger,11.0,13.0,0
10.42.0.211-36.248.26.152-59350-80-6,Chhattisgarh,DURG,2002,Whole Year ,Garlic,1.0,3.0,0
10.42.0.211-115.239.210.141-38604-80-6,Chhattisgarh,DURG,2002,Whole Year ,Onion,91.0,550.0,0
10.42.0.151-31.13.80.8-42787-443-6,Chhattisgarh,DURG,2002,Whole Year ,Papaya,23.0,834.0,0
239.255.255.250-10.42.0.1-1900-36049-17,Chhattisgarh,DURG,2002,Whole Year ,Potato,18.0,117.0,0
10.42.0.211-10.42.0.1-19252-53-17,Chhattisgarh,DURG,2002,Whole Year ,Sannhamp,72.0,25.0,0
10.42.0.211-10.42.0.1-48871-53-17,Chhattisgarh,DURG,2002,Whole Year ,Sugarcane,104.0,166.0,0
10.42.0.211-23.206.162.129-39558-80-6,Chhattisgarh,DURG,2002,Whole Year ,Sweet potato,62.0,348.0,0
10.42.0.151-10.42.0.1-12205-53-17,Chhattisgarh,DURG,2002,Whole Year ,Turmeric,9.0,9.0,0
10.42.0.151-10.42.0.1-59451-53-17,Chhattisgarh,DURG,2020,Kharif     ,Arhar/Tur,4173.0,2510.0,0
172.217.10.74-10.42.0.42-443-38219-6,Chhattisgarh,DURG,2020,Kharif     ,Castor seed,3.0,1.0,0
140.205.61.26-10.42.0.211-80-57467-6,Chhattisgarh,DURG,2020,Kharif     ,Cotton(lint),46.0,78.0,0
10.42.0.211-64.71.142.120-43300-443-6,Chhattisgarh,DURG,2020,Kharif     ,Groundnut,672.0,985.0,0
192.229.173.173-10.42.0.42-80-49065-6,Chhattisgarh,DURG,2020,Kharif     ,Horse-gram,558.0,197.0,0
10.42.0.151-13.32.251.213-55558-443-6,Chhattisgarh,DURG,2020,Kharif     ,Jowar,33.0,30.0,0
10.42.0.151-31.13.69.195-36232-443-6,Chhattisgarh,DURG,2020,Kharif     ,Maize,286.0,290.0,0
239.255.255.250-10.42.0.1-1900-51495-17,Chhattisgarh,DURG,2020,Kharif     ,Mesta,17.0,36.0,0
10.42.0.211-14.29.93.254-51274-80-6,Chhattisgarh,DURG,2020,Kharif     ,Moong(Green Gram),233.0,52.0,0
182.22.25.124-10.42.0.151-80-48408-6,Chhattisgarh,DURG,2020,Kharif     ,Ragi,19.0,6.0,0
192.229.163.180-10.42.0.42-443-47566-6,Chhattisgarh,DURG,2020,Kharif     ,Rice,442753.0,716384.0,0
10.42.0.211-23.21.95.195-52288-443-6,Chhattisgarh,DURG,2020,Kharif     ,Sesamum,1811.0,517.0,0
216.58.219.226-10.42.0.211-443-36814-6,Chhattisgarh,DURG,2020,Kharif     ,Small millets,13727.0,3289.0,0
180.149.153.68-10.42.0.211-80-34616-6,Chhattisgarh,DURG,2020,Kharif     ,Soyabean,7081.0,5259.0,0
216.58.217.163-10.42.0.42-443-41094-6,Chhattisgarh,DURG,2020,Kharif     ,Sunflower,825.0,505.0,0
10.42.0.211-23.206.166.66-33986-80-6,Chhattisgarh,DURG,2020,Kharif     ,Urad,2791.0,776.0,0
10.42.0.151-10.42.0.1-24007-53-17,Chhattisgarh,DURG,2020,Rabi       ,Barley,16.0,16.0,0
172.217.6.238-10.42.0.151-443-59989-6,Chhattisgarh,DURG,2020,Rabi       ,Gram,74034.0,80997.0,0
216.58.219.232-10.42.0.211-443-44653-6,Chhattisgarh,DURG,2020,Rabi       ,Horse-gram,149.0,44.0,0
10.42.0.211-10.42.0.1-31936-53-17,Chhattisgarh,DURG,2020,Rabi       ,Khesari,143774.0,79861.0,0
10.42.0.211-111.1.17.152-45591-8077-6,Chhattisgarh,DURG,2020,Rabi       ,Linseed,18665.0,5450.0,0
10.42.0.211-66.231.239.125-49393-443-6,Chhattisgarh,DURG,2020,Rabi       ,Masoor,6814.0,2364.0,0
10.42.0.151-10.42.0.1-12110-53-17,Chhattisgarh,DURG,2020,Rabi       ,Moong(Green Gram),261.0,73.0,0
205.204.101.182-10.42.0.211-443-46781-6,Chhattisgarh,DURG,2020,Rabi       ,Peas & beans (Pulses),1061.0,324.0,0
172.217.10.14-10.42.0.151-443-36153-6,Chhattisgarh,DURG,2020,Rabi       ,Rapeseed &Mustard,800.0,290.0,0
172.217.12.163-10.42.0.211-443-43872-6,Chhattisgarh,DURG,2020,Rabi       ,Safflower,235.0,56.0,0
10.42.0.42-64.71.142.124-48210-80-6,Chhattisgarh,DURG,2020,Rabi       ,Urad,1990.0,481.0,0
209.10.120.26-10.42.0.211-80-54882-6,Chhattisgarh,DURG,2020,Rabi       ,Wheat,19553.0,15676.0,1
221.228.90.127-10.42.0.211-80-44692-6,Chhattisgarh,DURG,2020,Whole Year ,Banana,50.0,1669.0,0
182.22.67.86-10.42.0.42-443-56388-6,Chhattisgarh,DURG,2020,Whole Year ,Coriander,1294.0,397.0,0
10.42.0.211-123.125.29.220-32842-80-6,Chhattisgarh,DURG,2020,Whole Year ,Dry chillies,241.0,188.0,0
10.42.0.211-10.42.0.1-30932-53-17,Chhattisgarh,DURG,2020,Whole Year ,Dry ginger,1.0,1.0,0
183.57.48.84-10.42.0.42-80-34345-6,Chhattisgarh,DURG,2020,Whole Year ,Garlic,8.0,27.0,0
10.42.0.151-31.13.80.52-52501-443-6,Chhattisgarh,DURG,2020,Whole Year ,Onion,244.0,1392.0,0
192.229.173.173-10.42.0.211-443-40191-6,Chhattisgarh,DURG,2020,Whole Year ,Papaya,98.0,4445.0,0
220.181.7.190-10.42.0.42-443-47491-6,Chhattisgarh,DURG,2020,Whole Year ,Potato,36.0,194.0,0
209.10.120.26-10.42.0.211-80-34454-6,Chhattisgarh,DURG,2020,Whole Year ,Sannhamp,34.0,13.0,0
10.42.0.151-112.80.248.187-50574-80-6,Chhattisgarh,DURG,2020,Whole Year ,Sugarcane,435.0,820.0,0
158.85.58.51-10.42.0.151-5222-37575-6,Chhattisgarh,DURG,2020,Whole Year ,Sweet potato,41.0,281.0,0
172.217.3.110-10.42.0.151-443-56137-6,Chhattisgarh,RAJNANDGAON,2002,Whole Year ,Turmeric,2.0,2.0,0
10.42.0.211-10.42.0.1-25710-53-17,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Arhar/Tur,4613.0,2774.0,0
172.217.7.163-10.42.0.211-80-53034-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Bajra,2.0,2.0,0
10.42.0.1-10.42.0.42-53-59298-17,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Castor seed,8.0,3.0,0
172.217.10.138-10.42.0.42-443-41352-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Cotton(lint),17.0,60.0,0
172.217.12.174-10.42.0.151-443-45258-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Horse-gram,2355.0,766.0,0
10.42.0.151-10.42.0.1-32407-53-17,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Jowar,30.0,27.0,0
10.42.0.151-10.42.0.1-49515-53-17,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Maize,1071.0,1168.0,0
172.217.10.130-10.42.0.151-443-56907-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Mesta,53.0,101.0,0
180.149.136.194-10.42.0.151-443-33447-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Moong(Green Gram),577.0,131.0,0
10.42.0.1-10.42.0.42-53-51167-17,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Niger seed,4.0,1.0,0
172.217.10.131-10.42.0.151-443-37561-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Other Kharif pulses,287.0,101.0,0
172.217.10.36-10.42.0.42-443-41660-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Ragi,223.0,74.0,0
222.73.28.96-10.42.0.42-80-34041-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Rice,257926.0,357731.0,0
10.42.0.211-66.198.178.50-45338-443-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Sesamum,984.0,286.0,0
10.42.0.211-72.21.206.121-48398-443-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Small millets,33274.0,9364.0,0
10.42.0.211-23.208.168.108-37618-443-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Soyabean,6941.0,6302.0,0
203.205.147.229-10.42.0.151-80-34567-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Sunflower,542.0,398.0,0
203.205.191.22-10.42.0.211-80-43257-6,Chhattisgarh,RAJNANDGAON,2020,Kharif     ,Urad,9544.0,3335.0,0
10.42.0.211-123.125.29.220-41301-80-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Barley,5.0,4.0,0
203.205.158.61-10.42.0.151-80-55528-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Gram,28301.0,24593.0,0
10.42.0.151-103.43.91.18-35300-443-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Horse-gram,1143.0,298.0,0
217.69.136.176-10.42.0.151-443-33472-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Khesari,58185.0,28350.0,0
10.42.0.211-47.88.68.21-39914-443-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Linseed,18508.0,5998.0,0
10.42.0.211-10.42.0.1-55448-53-17,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Masoor,1200.0,417.0,0
10.42.0.151-106.11.92.6-37693-443-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Moong(Green Gram),86.0,18.0,0
10.42.0.211-115.239.210.141-57524-80-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Other  Rabi pulses,176.0,53.0,0
10.42.0.211-117.121.27.10-41999-80-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Peas & beans (Pulses),203.0,60.0,0
10.42.0.1-10.42.0.42-53-20800-17,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Rapeseed &Mustard,633.0,238.0,0
10.42.0.151-106.39.169.66-44282-80-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Safflower,11.0,4.0,0
172.217.10.227-10.42.0.151-443-35256-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Urad,1193.0,322.0,0
169.45.248.101-10.42.0.151-5222-45490-6,Chhattisgarh,RAJNANDGAON,2020,Rabi       ,Wheat,14387.0,11780.0,1
10.42.0.211-119.146.74.34-57098-80-6,Chhattisgarh,RAJNANDGAON,2020,Whole Year ,Banana,4.0,171.0,0
172.217.11.42-10.42.0.151-443-42307-6,Chhattisgarh,RAJNANDGAON,2020,Whole Year ,Coriander,159.0,35.0,0
10.42.0.1-10.42.0.42-53-59439-17,Chhattisgarh,RAJNANDGAON,2020,Whole Year ,Dry chillies,639.0,479.0,0
151.101.117.140-10.42.0.211-443-55829-6,Haryana,HISAR,2005,Rabi       ,Rapeseed &Mustard,73633.0,59100.0,0
10.42.0.1-10.42.0.42-53-40691-17,Haryana,HISAR,2005,Rabi       ,Wheat,203205.0,752018.0,1
10.42.0.211-10.42.0.1-22920-53-17,Haryana,HISAR,2005,Whole Year ,Dry chillies,378.0,300.0,0
10.42.0.211-121.12.98.62-55460-80-6,Haryana,HISAR,2005,Whole Year ,Potato,157.0,2700.0,0
10.42.0.211-10.42.0.1-18734-53-17,Haryana,HISAR,2005,Whole Year ,Sannhamp,5.0,,0
10.42.0.211-10.42.0.1-43865-53-17,Haryana,HISAR,2005,Whole Year ,Sugarcane,2561.0,160000.0,0
173.241.242.143-10.42.0.211-443-42322-6,Haryana,HISAR,2006,Kharif     ,Arhar/Tur,30.0,,0
10.42.0.1-10.42.0.42-53-11127-17,Haryana,HISAR,2006,Kharif     ,Bajra,63855.0,147000.0,0
219.142.78.162-10.42.0.42-80-60039-6,Haryana,HISAR,2006,Kharif     ,Castor seed,897.0,300.0,0
182.22.120.246-10.42.0.211-443-50250-6,Haryana,HISAR,2006,Kharif     ,Cotton(lint),129660.0,396000.0,0
10.42.0.211-23.194.140.226-43292-80-6,Haryana,HISAR,2006,Kharif     ,Groundnut,193.0,200.0,0
222.73.28.96-10.42.0.42-80-55918-6,Haryana,HISAR,2006,Kharif     ,Horse-gram,125.0,100.0,0
10.42.0.211-23.15.4.16-42465-80-6,Haryana,HISAR,2006,Kharif     ,Jowar,152.0,,0
172.217.10.232-10.42.0.151-443-36598-6,Haryana,HISAR,2006,Kharif     ,Maize,26.0,,0
182.254.5.234-10.42.0.211-80-44063-6,Haryana,HISAR,2006,Kharif     ,Moong(Green Gram),10704.0,4500.0,0
10.42.0.211-10.42.0.1-7292-53-17,Haryana,HISAR,2006,Kharif     ,Moth,624.0,,0
172.217.10.129-10.42.0.151-443-60805-6,Haryana,HISAR,2006,Kharif     ,Rice,35283.0,94000.0,0
10.42.0.211-54.192.37.39-50896-443-6,Haryana,HISAR,2006,Kharif     ,Sesamum,439.0,200.0,0
10.42.0.211-10.42.0.1-56309-53-17,Haryana,HISAR,2006,Kharif     ,Urad,202.0,100.0,0
172.217.10.67-10.42.0.211-443-49610-6,Haryana,HISAR,2006,Rabi       ,Barley,6362.0,21000.0,0
10.42.0.151-10.42.0.1-32393-53-17,Haryana,HISAR,2006,Rabi       ,Gram,14869.0,12018.0,0
10.42.0.151-10.42.0.1-29740-53-17,Haryana,HISAR,2006,Rabi       ,Peas & beans (Pulses),129.0,200.0,0
10.42.0.211-69.90.153.133-53916-443-6,Haryana,HISAR,2006,Rabi       ,Rapeseed &Mustard,57792.0,87000.0,0
10.42.0.151-10.42.0.1-8962-53-17,Haryana,HISAR,2011,Rabi       ,Barley,4350.0,15000.0,0
10.42.0.211-104.192.110.245-55137-443-6,Haryana,HISAR,2011,Rabi       ,Gram,14044.0,12018.0,0
151.101.21.140-10.42.0.151-443-46956-6,Haryana,HISAR,2011,Rabi       ,Masoor,7.0,,0
172.217.10.66-10.42.0.151-443-57121-6,Haryana,HISAR,2011,Rabi       ,Rapeseed &Mustard,59725.0,102018.0,0
180.149.138.197-10.42.0.151-80-54740-6,Haryana,HISAR,2011,Rabi       ,Wheat,237072.0,1208000.0,1
172.217.10.106-10.42.0.151-443-53261-6,Haryana,HISAR,2011,Whole Year ,Potato,229.0,3200.0,0
10.42.0.211-104.192.110.245-58910-80-6,Haryana,HISAR,2011,Whole Year ,Sugarcane,1193.0,7000.0,0
172.217.12.170-10.42.0.151-443-59312-6,Haryana,HISAR,2012,Kharif     ,Arhar/Tur,8.0,8.0,0
172.217.9.238-10.42.0.151-443-55643-6,Haryana,HISAR,2012,Kharif     ,Bajra,28423.0,60000.0,0
172.217.3.106-10.42.0.151-443-33758-6,Haryana,HISAR,2012,Kharif     ,Castor seed,208.0,83.0,0
10.42.0.211-64.71.142.124-57310-443-6,Haryana,HISAR,2012,Kharif     ,Cotton(lint),145604.0,528000.0,0
219.142.78.217-10.42.0.42-80-35452-6,Haryana,HISAR,2012,Kharif     ,Groundnut,169.0,202.0,0
10.42.0.211-10.42.0.1-24609-53-17,Haryana,HISAR,2012,Kharif     ,Maize,24.0,,0
180.149.136.194-10.42.0.151-80-34478-6,Haryana,HISAR,2012,Kharif     ,Moong(Green Gram),5376.0,2546.0,0
10.42.0.151-104.88.89.135-45394-443-6,Haryana,HISAR,2012,Kharif     ,Rice,42070.0,102018.0,0
10.42.0.151-10.42.0.1-27179-53-17,Haryana,JHAJJAR,2002,Kharif     ,Rice,6484.0,19000.0,0
10.42.0.211-119.146.74.34-49507-80-6,Haryana,JHAJJAR,2002,Kharif     ,Sesamum,87.0,0.0,0
10.42.0.211-10.42.0.1-59030-53-17,Haryana,JHAJJAR,2002,Rabi       ,Barley,1437.0,3000.0,0
10.42.0.211-74.125.192.188-34206-5228-6,Haryana,JHAJJAR,2002,Rabi       ,Gram,1835.0,2018.0,0
10.42.0.211-31.13.80.52-58509-80-6,Haryana,JHAJJAR,2002,Rabi       ,Peas & beans (Pulses),84.0,100.0,0
172.217.6.238-10.42.0.151-443-60516-6,Haryana,JHAJJAR,2002,Rabi       ,Rapeseed &Mustard,42309.0,49000.0,0
10.42.0.151-118.92.201.162-43477-20920-17,Haryana,JHAJJAR,2002,Rabi       ,Wheat,93118.0,366000.0,1
174.35.73.97-10.42.0.42-80-45727-6,Haryana,JHAJJAR,2002,Whole Year ,Banana,103.0,0.0,0
10.42.0.42-47.89.69.217-54360-443-6,Haryana,JHAJJAR,2002,Whole Year ,Onion,226.0,4400.0,0
10.42.0.211-10.42.0.1-41533-53-17,Haryana,JHAJJAR,2002,Whole Year ,Other Vegetables,764.0,2018.0,0
172.217.10.46-10.42.0.42-443-42123-6,Haryana,JHAJJAR,2002,Whole Year ,Potato,21.0,400.0,0
10.42.0.151-10.42.0.1-19675-53-17,Haryana,JHAJJAR,2002,Whole Year ,Sannhamp,128.0,0.0,0
172.217.12.170-10.42.0.151-443-46857-6,Haryana,JHAJJAR,2002,Whole Year ,Sugarcane,3379.0,150000.0,0
10.42.0.211-123.59.190.237-41215-80-6,Haryana,JHAJJAR,2020,Kharif     ,Arhar/Tur,3924.0,4300.0,0
10.42.0.211-23.208.168.108-47380-80-6,Haryana,JHAJJAR,2020,Kharif     ,Bajra,26770.0,39000.0,0
10.42.0.151-104.244.43.99-50130-443-6,Haryana,JHAJJAR,2020,Kharif     ,Cotton(lint),3397.0,8000.0,0
10.42.0.1-10.42.0.42-53-17535-17,Haryana,JHAJJAR,2020,Kharif     ,Groundnut,29.0,0.0,0
202.77.129.185-10.42.0.211-80-56312-6,Haryana,JHAJJAR,2020,Kharif     ,Jowar,25387.0,7000.0,0
10.42.0.211-36.51.254.232-55450-443-6,Haryana,JHAJJAR,2020,Kharif     ,Maize,98.0,0.0,0
220.170.182.31-10.42.0.42-443-42100-6,Haryana,JHAJJAR,2020,Kharif     ,Moong(Green Gram),52.0,0.0,0
172.217.10.10-10.42.0.151-443-45380-6,Haryana,JHAJJAR,2020,Kharif     ,Rice,11702.0,18000.0,0
172.217.12.142-10.42.0.211-443-41534-6,Haryana,JHAJJAR,2020,Kharif     ,Sesamum,44.0,0.0,0
172.217.10.240-10.42.0.42-443-51196-6,Haryana,JHAJJAR,2020,Rabi       ,Barley,1415.0,3000.0,0
180.149.135.239-10.42.0.211-80-38435-6,Haryana,JHAJJAR,2020,Rabi       ,Gram,2022.0,2018.0,0
172.217.6.238-10.42.0.151-443-39286-6,Haryana,JHAJJAR,2020,Rabi       ,Peas & beans (Pulses),131.0,100.0,0
202.77.129.146-10.42.0.211-80-58898-6,Haryana,JHAJJAR,2020,Rabi       ,Rapeseed &Mustard,43152.0,64000.0,0
10.42.0.211-64.71.142.96-40902-80-6,Haryana,JHAJJAR,2020,Rabi       ,Wheat,92614.0,358000.0,1
10.42.0.211-106.39.169.66-60138-443-6,Haryana,JHAJJAR,2020,Whole Year ,Mango,125.0,2.0,0
172.217.3.110-10.42.0.151-443-56137-6,Haryana,JHAJJAR,2020,Whole Year ,Onion,134.0,2600.0,0
185.63.144.1-10.42.0.42-80-50094-6,Haryana,JHAJJAR,2020,Whole Year ,Other Vegetables,610.0,1600.0,0
10.42.0.211-10.42.0.1-19894-53-17,Haryana,JHAJJAR,2020,Whole Year ,Potato,19.0,300.0,0
10.42.0.42-119.146.74.31-35471-443-6,Haryana,JHAJJAR,2020,Whole Year ,Sannhamp,122.0,0.0,0
172.217.10.34-10.42.0.211-443-35051-6,Haryana,JHAJJAR,2020,Whole Year ,Sugarcane,2772.0,150000.0,0
10.42.0.211-23.192.76.180-48136-80-6,Haryana,JHAJJAR,2005,Rabi       ,Gram,1321.0,1000.0,0
216.58.219.206-10.42.0.151-443-52192-6,Haryana,JHAJJAR,2005,Rabi       ,Peas & beans (Pulses),47.0,,0
10.42.0.42-111.202.114.35-39504-80-6,Haryana,JHAJJAR,2005,Rabi       ,Rapeseed &Mustard,56448.0,48000.0,0
157.240.2.25-10.42.0.211-443-41289-6,Haryana,JHAJJAR,2005,Rabi       ,Wheat,85059.0,315000.0,1
10.42.0.151-47.88.66.107-57741-80-6,Haryana,JHAJJAR,2005,Whole Year ,Onion,163.0,2700.0,0
10.42.0.1-10.42.0.42-53-37255-17,Haryana,JHAJJAR,2005,Whole Year ,Potato,6.0,100.0,0
172.217.9.238-10.42.0.151-443-49107-6,Haryana,JHAJJAR,2005,Whole Year ,Sannhamp,116.0,,0
10.42.0.151-10.42.0.1-43186-53-17,Haryana,JHAJJAR,2005,Whole Year ,Sugarcane,1857.0,120180.0,0
10.42.0.42-72.21.206.141-32798-443-6,Haryana,JHAJJAR,2006,Kharif     ,Arhar/Tur,6175.0,6800.0,0
10.42.0.211-10.42.0.1-11113-53-17,Haryana,JHAJJAR,2006,Kharif     ,Bajra,30052.0,39000.0,0
180.163.255.159-10.42.0.42-80-40005-6,Haryana,JHAJJAR,2006,Kharif     ,Cotton(lint),1736.0,5000.0,0
10.42.0.211-10.42.0.1-40145-53-17,Haryana,JHAJJAR,2006,Kharif     ,Groundnut,182.0,100.0,0
10.42.0.1-10.42.0.42-53-26721-17,Haryana,JHAJJAR,2006,Kharif     ,Jowar,25781.0,7000.0,0
203.130.53.126-10.42.0.42-80-33434-6,Haryana,JHAJJAR,2006,Kharif     ,Maize,125.0,,0
10.42.0.42-13.32.250.43-35012-443-6,Haryana,JHAJJAR,2006,Kharif     ,Moong(Green Gram),50.0,,0
10.42.0.211-69.147.82.61-43722-443-6,Haryana,JHAJJAR,2006,Kharif     ,Rice,17210.0,31000.0,0
157.55.130.147-10.42.0.151-40027-43477-17,Haryana,JHAJJAR,2006,Kharif     ,Sesamum,54.0,,0
172.217.12.162-10.42.0.151-443-36971-6,Haryana,JHAJJAR,2006,Rabi       ,Barley,2612.0,9000.0,0
10.42.0.211-52.84.29.55-54712-443-6,Haryana,JHAJJAR,2006,Rabi       ,Gram,1292.0,1000.0,0
10.42.0.211-119.146.74.33-56489-443-6,Haryana,JHAJJAR,2006,Rabi       ,Peas & beans (Pulses),156.0,200.0,0
10.42.0.151-31.13.80.5-42870-443-6,Haryana,JHAJJAR,2006,Rabi       ,Rapeseed &Mustard,41170.0,54000.0,0
10.42.0.211-106.39.162.36-54697-80-6,Haryana,JHAJJAR,2006,Rabi       ,Wheat,96315.0,376000.0,1
10.42.0.211-66.198.24.225-47607-80-6,Haryana,JHAJJAR,2006,Whole Year ,Onion,99.0,2100.0,0
10.42.0.211-115.239.210.141-50523-443-6,Haryana,JHAJJAR,2006,Whole Year ,Potato,4.0,100.0,0
183.57.48.84-10.42.0.211-80-33903-6,Haryana,JHAJJAR,2006,Whole Year ,Sannhamp,85.0,,0
172.217.7.10-10.42.0.211-443-33523-6,Haryana,JHAJJAR,2006,Whole Year ,Sugarcane,2559.0,192018.0,0
10.42.0.211-14.29.93.254-60314-80-6,Haryana,JHAJJAR,2007,Kharif     ,Arhar/Tur,6478.0,7100.0,0
172.217.6.238-10.42.0.151-443-33866-6,Haryana,JHAJJAR,2007,Kharif     ,Bajra,30983.0,55000.0,0
198.11.188.78-10.42.0.42-443-43582-6,Haryana,JHAJJAR,2007,Kharif     ,Cotton(lint),923.0,2018.0,0
10.42.0.211-69.147.82.61-41639-443-6,Haryana,JHAJJAR,2007,Kharif     ,Groundnut,135.0,100.0,0
10.42.0.211-23.21.45.59-37527-443-6,Haryana,JHAJJAR,2007,Kharif     ,Jowar,26101.0,12018.0,0
172.217.7.10-10.42.0.211-443-55487-6,Haryana,JHAJJAR,2007,Kharif     ,Maize,100.0,,0
10.42.0.211-77.234.44.79-43467-443-6,Haryana,JHAJJAR,2007,Kharif     ,Moong(Green Gram),30.0,,0
172.217.10.42-10.42.0.211-443-60608-6,Haryana,JHAJJAR,2007,Kharif     ,Rice,18778.0,43000.0,0
172.217.3.110-10.42.0.151-443-33914-6,Haryana,JHAJJAR,2007,Kharif     ,Sesamum,29.0,,0
220.170.182.31-10.42.0.211-443-35139-6,Haryana,JHAJJAR,2007,Rabi       ,Barley,1630.0,5000.0,0
172.217.11.36-10.42.0.151-443-32861-6,Haryana,JHAJJAR,2007,Rabi       ,Gram,672.0,1000.0,0
10.42.0.211-10.42.0.1-13772-53-17,Haryana,JHAJJAR,2007,Rabi       ,Peas & beans (Pulses),75.0,100.0,0
10.42.0.211-117.121.27.10-46864-80-6,Haryana,JHAJJAR,2007,Rabi       ,Rapeseed &Mustard,34765.0,43000.0,0
219.142.78.162-10.42.0.211-443-51910-6,Haryana,JHAJJAR,2007,Rabi       ,Wheat,98762.0,388000.0,1
10.42.0.211-69.147.82.61-35815-443-6,Haryana,JHAJJAR,2007,Whole Year ,Sannhamp,44.0,,0
